"geo","gender","provider_status","time_use","care_type","care_focus","provider_attention","provision_interval","population"
"state53","female","other","care","formal","developmental","active",12740699.9142857,306321.57
"state41","female","other","care","formal","developmental","active",3574363.88571429,163970.7
"state06","female","other","care","formal","developmental","active",45216651.3428571,2413965.03
"state02","female","other","care","formal","developmental","active",628743.428571429,24734.15
"state15","female","other","care","formal","developmental","active",1517240.57142857,100043.03
"national","female","other","care","formal","developmental","active",340446512.914286,16821935.53
"state23","female","other","care","formal","health","active",1419981.08571429,51842.96
"state33","female","other","care","formal","health","active",2344666.28571429,63401.95
"state50","female","other","care","formal","health","active",158838.857142857,21295.84
"state25","female","other","care","formal","health","active",10389656.8285714,395725.39
"state44","female","other","care","formal","health","active",2776229.65714286,58294.62
"state09","female","other","care","formal","health","active",4889661.34285714,204036.5
"state36","female","other","care","formal","health","active",36928360.3714286,1108136.27
"state34","female","other","care","formal","health","active",28703913.6,651558.77
"state42","female","other","care","formal","health","active",28751168.1428571,795675.78
"state39","female","other","care","formal","health","active",18321805.4571429,577574.93
"state18","female","other","care","formal","health","active",4601489.57142857,250793.18
"state17","female","other","care","formal","health","active",18289488.0857143,577251.97
"state26","female","other","care","formal","health","active",23137314.0857143,550407.04
"state55","female","other","care","formal","health","active",11225552.1428571,229278.05
"state27","female","other","care","formal","health","active",5938907.14285714,180444.5
"state19","female","other","care","formal","health","active",3144738.42857143,90265.65
"state29","female","other","care","formal","health","active",8766305.82857143,273198.35
"state38","female","other","care","formal","health","active",385470.857142857,19850.93
"state46","female","other","care","formal","health","active",1203087.08571429,30165.95
"state31","female","other","care","formal","health","active",1079871,53635.95
"state20","female","other","care","formal","health","active",4091917.62857143,103032.4
"state10","female","other","care","formal","health","active",2062934.82857143,53128.82
"state24","female","other","care","formal","health","active",12164345.4857143,364302.13
"state11","female","other","care","formal","health","active",738558.171428571,24216.07
"state51","female","other","care","formal","health","active",5669342.57142857,424295.86
"state54","female","other","care","formal","health","active",3488419.28571429,81430.64
"state37","female","other","care","formal","health","active",12382138.8,438171.03
"state45","female","other","care","formal","health","active",6966776.91428571,232738.62
"state13","female","other","care","formal","health","active",21887604,480036.97
"state12","female","other","care","formal","health","active",32395440.7714286,1294642.47
"state21","female","other","care","formal","health","active",5099464.11428571,175042.13
"state47","female","other","care","formal","health","active",10886324.5714286,345636.85
"state01","female","other","care","formal","health","active",7879294.88571429,237666.09
"state28","female","other","care","formal","health","active",3768301.8,146600.32
"state05","female","other","care","formal","health","active",7006190.91428571,151690.7
"state22","female","other","care","formal","health","active",9122698.54285714,247822.31
"state40","female","other","care","formal","health","active",5146282.28571429,167573.03
"state48","female","other","care","formal","health","active",31608316.3714286,1550260.33
"state30","female","other","care","formal","health","active",959411.914285714,29578.97
"state16","female","other","care","formal","health","active",2597573.14285714,65583.78
