"gini","date","geo_level"
0.859326322984646,2009-01-01,"state01"
0.836508802203782,2009-01-01,"state02"
0.91141759557807,2009-01-01,"state04"
0.881120126843174,2009-01-01,"state05"
0.840015200221802,2009-01-01,"state06"
0.881403338068181,2009-01-01,"state08"
0.776237581696741,2009-01-01,"state09"
0.864955384783364,2009-01-01,"state10"
0.92729220709166,2009-01-01,"state12"
0.924944236292013,2009-01-01,"state13"
0.922670148629131,2009-01-01,"state15"
0.893456791578492,2009-01-01,"state16"
0.814976303109968,2009-01-01,"state17"
0.833362919913419,2009-01-01,"state18"
0.786771298951414,2009-01-01,"state19"
0.833447402896556,2009-01-01,"state20"
0.90414789878026,2009-01-01,"state21"
0.894972815263744,2009-01-01,"state22"
0.799242389616317,2009-01-01,"state23"
0.822111267605469,2009-01-01,"state24"
0.823748448424387,2009-01-01,"state26"
0.838358873753,2009-01-01,"state27"
0.886739667410665,2009-01-01,"state28"
0.873319914662513,2009-01-01,"state29"
0.809798733210201,2009-01-01,"state30"
0.814834450174719,2009-01-01,"state31"
0.940604013229011,2009-01-01,"state32"
0.804873969047325,2009-01-01,"state33"
0.794657645458702,2009-01-01,"state34"
0.88297677943957,2009-01-01,"state35"
0.856486862276977,2009-01-01,"state36"
0.923422337706931,2009-01-01,"state37"
0.836741295926537,2009-01-01,"state38"
0.764333984026071,2009-01-01,"state39"
0.874307286012916,2009-01-01,"state40"
0.804677026293856,2009-01-01,"state41"
0.777349400815979,2009-01-01,"state42"
0.743273336529185,2009-01-01,"state44"
0.90819756633791,2009-01-01,"state45"
0.835480457113683,2009-01-01,"state46"
0.914246730247704,2009-01-01,"state47"
0.893170199223763,2009-01-01,"state48"
0.831636931687346,2009-01-01,"state49"
0.726854672708177,2009-01-01,"state50"
0.904123656462391,2009-01-01,"state51"
0.878859565143856,2009-01-01,"state53"
0.81930338047262,2009-01-01,"state54"
0.822153376534558,2009-01-01,"state55"
0.799019578419647,2009-01-01,"state56"
0.814998215090689,2010-01-01,"state01"
0.824023977433549,2010-01-01,"state02"
0.848687700610484,2010-01-01,"state04"
0.807156821420309,2010-01-01,"state05"
0.792762848300132,2010-01-01,"state06"
0.834704137442531,2010-01-01,"state08"
0.76306249637186,2010-01-01,"state09"
0.823853239886324,2010-01-01,"state10"
0.869475909965418,2010-01-01,"state12"
0.878268899205626,2010-01-01,"state13"
0.89402441485428,2010-01-01,"state15"
0.838183708285592,2010-01-01,"state16"
0.778356577155036,2010-01-01,"state17"
0.785956648556836,2010-01-01,"state18"
0.701487158784077,2010-01-01,"state19"
0.775034995153349,2010-01-01,"state20"
0.850208967733382,2010-01-01,"state21"
0.878630355788059,2010-01-01,"state22"
0.747406246415536,2010-01-01,"state23"
0.744811662046303,2010-01-01,"state24"
0.999622516016437,2010-01-01,"state25"
0.806142581147179,2010-01-01,"state26"
0.761028693119204,2010-01-01,"state27"
0.858986783272591,2010-01-01,"state28"
0.783583921090972,2010-01-01,"state29"
0.779275193958266,2010-01-01,"state30"
0.716469066728582,2010-01-01,"state31"
0.901025854994733,2010-01-01,"state32"
0.778999267992201,2010-01-01,"state33"
0.765591915628243,2010-01-01,"state34"
0.841174664290139,2010-01-01,"state35"
0.831803427658758,2010-01-01,"state36"
0.829229771967367,2010-01-01,"state37"
0.775750727794616,2010-01-01,"state38"
0.736036983180913,2010-01-01,"state39"
0.80815815389798,2010-01-01,"state40"
0.762058887069166,2010-01-01,"state41"
0.729685369255676,2010-01-01,"state42"
0.729027533989038,2010-01-01,"state44"
0.84150051526754,2010-01-01,"state45"
0.754712999451688,2010-01-01,"state46"
0.868643387617405,2010-01-01,"state47"
0.855152032671521,2010-01-01,"state48"
0.765331871758903,2010-01-01,"state49"
0.744293604433749,2010-01-01,"state50"
0.845232095655308,2010-01-01,"state51"
0.84690836347808,2010-01-01,"state53"
0.747911436856901,2010-01-01,"state54"
0.766806523417634,2010-01-01,"state55"
0.749416385046488,2010-01-01,"state56"
0.81720891156148,2011-01-01,"state01"
0.820798523450032,2011-01-01,"state02"
0.846830848493528,2011-01-01,"state04"
0.809207352282078,2011-01-01,"state05"
0.78687286377373,2011-01-01,"state06"
0.83518295534373,2011-01-01,"state08"
0.763435744637175,2011-01-01,"state09"
0.815601960319497,2011-01-01,"state10"
0.869321410588572,2011-01-01,"state12"
0.879191823866756,2011-01-01,"state13"
0.895240595405518,2011-01-01,"state15"
0.83413836876474,2011-01-01,"state16"
0.778003214683078,2011-01-01,"state17"
0.787893800721196,2011-01-01,"state18"
0.688970980095231,2011-01-01,"state19"
0.771690713710634,2011-01-01,"state20"
0.860987995894739,2011-01-01,"state21"
0.878998743634139,2011-01-01,"state22"
0.746718802492921,2011-01-01,"state23"
0.743160436630309,2011-01-01,"state24"
0.759770022478008,2011-01-01,"state25"
0.803402168065337,2011-01-01,"state26"
0.761039316948737,2011-01-01,"state27"
0.865055574389955,2011-01-01,"state28"
0.783794364121683,2011-01-01,"state29"
0.775664221096885,2011-01-01,"state30"
0.713470888364222,2011-01-01,"state31"
0.901879314773847,2011-01-01,"state32"
0.777682505422074,2011-01-01,"state33"
0.764174382868601,2011-01-01,"state34"
0.840898223871193,2011-01-01,"state35"
0.826889115979105,2011-01-01,"state36"
0.825520797297279,2011-01-01,"state37"
0.776649822363162,2011-01-01,"state38"
0.738366444598819,2011-01-01,"state39"
0.805121138351232,2011-01-01,"state40"
0.762333165100419,2011-01-01,"state41"
0.733660318398375,2011-01-01,"state42"
0.722162508076267,2011-01-01,"state44"
0.83535308735215,2011-01-01,"state45"
0.758225082500492,2011-01-01,"state46"
0.862233979613214,2011-01-01,"state47"
0.853576617956246,2011-01-01,"state48"
0.765704747531271,2011-01-01,"state49"
0.743372435659683,2011-01-01,"state50"
0.841415709919688,2011-01-01,"state51"
0.847411849394896,2011-01-01,"state53"
0.752850137543168,2011-01-01,"state54"
0.772713447168403,2011-01-01,"state55"
0.753006468222287,2011-01-01,"state56"
0.818416392287508,2012-01-01,"state01"
0.814042141412121,2012-01-01,"state02"
0.844188890258861,2012-01-01,"state04"
0.806140301009601,2012-01-01,"state05"
0.779325588069502,2012-01-01,"state06"
0.818299818058809,2012-01-01,"state08"
0.761840981638206,2012-01-01,"state09"
0.818854166320186,2012-01-01,"state10"
0.867039776893325,2012-01-01,"state12"
0.875101993085833,2012-01-01,"state13"
0.894969402662557,2012-01-01,"state15"
0.831270067761695,2012-01-01,"state16"
0.779334251188853,2012-01-01,"state17"
0.788569364717334,2012-01-01,"state18"
0.697818561563977,2012-01-01,"state19"
0.774187798525002,2012-01-01,"state20"
0.858478888322239,2012-01-01,"state21"
0.86996043084279,2012-01-01,"state22"
0.746997330460958,2012-01-01,"state23"
0.741638216613548,2012-01-01,"state24"
0.763109587570287,2012-01-01,"state25"
0.79080025858431,2012-01-01,"state26"
0.75940620433532,2012-01-01,"state27"
0.85969677804653,2012-01-01,"state28"
0.777812764760122,2012-01-01,"state29"
0.771826761273769,2012-01-01,"state30"
0.711557929499924,2012-01-01,"state31"
0.899996262557698,2012-01-01,"state32"
0.77683750796382,2012-01-01,"state33"
0.752153536632077,2012-01-01,"state34"
0.797978520116481,2012-01-01,"state35"
0.819351476424568,2012-01-01,"state36"
0.823012263332065,2012-01-01,"state37"
0.775765676892073,2012-01-01,"state38"
0.737804369604319,2012-01-01,"state39"
0.800591133506922,2012-01-01,"state40"
0.754756962729172,2012-01-01,"state41"
0.731691828197316,2012-01-01,"state42"
0.720300212662842,2012-01-01,"state44"
0.825015668493654,2012-01-01,"state45"
0.745296093638382,2012-01-01,"state46"
0.858380705303614,2012-01-01,"state47"
0.867472862981931,2012-01-01,"state48"
0.772497430302608,2012-01-01,"state49"
0.742351093491534,2012-01-01,"state50"
0.841957378386331,2012-01-01,"state51"
0.842149598722223,2012-01-01,"state53"
0.738331945620124,2012-01-01,"state54"
0.715155192267714,2012-01-01,"state55"
0.756404823983451,2012-01-01,"state56"
0.820277254578978,2013-01-01,"state01"
0.81081178323436,2013-01-01,"state02"
0.84306765980503,2013-01-01,"state04"
0.807360201714422,2013-01-01,"state05"
0.749666918759062,2013-01-01,"state06"
0.816256787714707,2013-01-01,"state08"
0.762336151121509,2013-01-01,"state09"
0.815203648177113,2013-01-01,"state10"
0.866381738730912,2013-01-01,"state12"
0.880925112552158,2013-01-01,"state13"
0.89394560736864,2013-01-01,"state15"
0.832178939812401,2013-01-01,"state16"
0.781874452345485,2013-01-01,"state17"
0.792718368574684,2013-01-01,"state18"
0.698209499763099,2013-01-01,"state19"
0.775013404658588,2013-01-01,"state20"
0.858102007619134,2013-01-01,"state21"
0.873593339861362,2013-01-01,"state22"
0.747053986512523,2013-01-01,"state23"
0.739477922328152,2013-01-01,"state24"
0.759650743793902,2013-01-01,"state25"
0.789805554737603,2013-01-01,"state26"
0.759485614822881,2013-01-01,"state27"
0.860151593322381,2013-01-01,"state28"
0.775163479194323,2013-01-01,"state29"
0.766291406717582,2013-01-01,"state30"
0.702870744011867,2013-01-01,"state31"
0.899175414261142,2013-01-01,"state32"
0.775262625238553,2013-01-01,"state33"
0.75089445611017,2013-01-01,"state34"
0.799009534529568,2013-01-01,"state35"
0.818497259218744,2013-01-01,"state36"
0.823379160572746,2013-01-01,"state37"
0.776988841544242,2013-01-01,"state38"
0.740687617025849,2013-01-01,"state39"
0.802613876835456,2013-01-01,"state40"
0.75987513176571,2013-01-01,"state41"
0.739799147380614,2013-01-01,"state42"
0.712273552731596,2013-01-01,"state44"
0.828016207475125,2013-01-01,"state45"
0.77005911876061,2013-01-01,"state46"
0.858029280405443,2013-01-01,"state47"
0.866688786965692,2013-01-01,"state48"
0.766287198020202,2013-01-01,"state49"
0.748583068211396,2013-01-01,"state50"
0.835971656696746,2013-01-01,"state51"
0.84453497532687,2013-01-01,"state53"
0.738618645098893,2013-01-01,"state54"
0.717805009335074,2013-01-01,"state55"
0.756734889806366,2013-01-01,"state56"
0.820138796386557,2014-01-01,"state01"
0.812583565902384,2014-01-01,"state02"
0.843852156998997,2014-01-01,"state04"
0.807121936127147,2014-01-01,"state05"
0.747773389178626,2014-01-01,"state06"
0.818152999782393,2014-01-01,"state08"
0.753565102878439,2014-01-01,"state09"
0.817904836905821,2014-01-01,"state10"
0.867986784679867,2014-01-01,"state12"
0.873614647405625,2014-01-01,"state13"
0.896288171428345,2014-01-01,"state15"
0.837075572711934,2014-01-01,"state16"
0.783554636095829,2014-01-01,"state17"
0.791712190886592,2014-01-01,"state18"
0.696238178390439,2014-01-01,"state19"
0.772063420979635,2014-01-01,"state20"
0.856121284735142,2014-01-01,"state21"
0.872545916260896,2014-01-01,"state22"
0.745859376854534,2014-01-01,"state23"
0.743140533494455,2014-01-01,"state24"
0.757986992382401,2014-01-01,"state25"
0.795801189389147,2014-01-01,"state26"
0.758581107208649,2014-01-01,"state27"
0.861274250914162,2014-01-01,"state28"
0.776706315316331,2014-01-01,"state29"
0.767360472678098,2014-01-01,"state30"
0.698604171299459,2014-01-01,"state31"
0.896836157485575,2014-01-01,"state32"
0.774417370471795,2014-01-01,"state33"
0.749018108308745,2014-01-01,"state34"
0.798243974188206,2014-01-01,"state35"
0.815995259066651,2014-01-01,"state36"
0.822863028712922,2014-01-01,"state37"
0.77618588923544,2014-01-01,"state38"
0.741509399283036,2014-01-01,"state39"
0.801715774046943,2014-01-01,"state40"
0.75918614032521,2014-01-01,"state41"
0.728402828736812,2014-01-01,"state42"
0.706610647348041,2014-01-01,"state44"
0.826120576354855,2014-01-01,"state45"
0.768074265992892,2014-01-01,"state46"
0.853797662509413,2014-01-01,"state47"
0.86891545688546,2014-01-01,"state48"
0.761693035779968,2014-01-01,"state49"
0.745881870195545,2014-01-01,"state50"
0.835215472619932,2014-01-01,"state51"
0.832421320258668,2014-01-01,"state53"
0.743703587682706,2014-01-01,"state54"
0.71471588902455,2014-01-01,"state55"
0.754006016164577,2014-01-01,"state56"
0.824377151258967,2015-01-01,"state01"
0.817086826094967,2015-01-01,"state02"
0.840152143095662,2015-01-01,"state04"
0.810208740168188,2015-01-01,"state05"
0.744994494464713,2015-01-01,"state06"
0.822284112958578,2015-01-01,"state08"
0.758327327901626,2015-01-01,"state09"
0.824967922110543,2015-01-01,"state10"
0.869559026162636,2015-01-01,"state12"
0.878274304636718,2015-01-01,"state13"
0.892786081897459,2015-01-01,"state15"
0.837596855954114,2015-01-01,"state16"
0.779884364565184,2015-01-01,"state17"
0.7959503956367,2015-01-01,"state18"
0.704690625098773,2015-01-01,"state19"
0.777289661090349,2015-01-01,"state20"
0.858592368043489,2015-01-01,"state21"
0.873227046044301,2015-01-01,"state22"
0.746923486304549,2015-01-01,"state23"
0.747432168106959,2015-01-01,"state24"
0.759700175682824,2015-01-01,"state25"
0.79144225931638,2015-01-01,"state26"
0.753272042974623,2015-01-01,"state27"
0.864716859494096,2015-01-01,"state28"
0.776817425748529,2015-01-01,"state29"
0.760089995060073,2015-01-01,"state30"
0.713329734493174,2015-01-01,"state31"
0.898400730099637,2015-01-01,"state32"
0.7763466580827,2015-01-01,"state33"
0.749665280708209,2015-01-01,"state34"
0.800275601180663,2015-01-01,"state35"
0.787533640594479,2015-01-01,"state36"
0.821672166173495,2015-01-01,"state37"
0.779408480314753,2015-01-01,"state38"
0.743672754387197,2015-01-01,"state39"
0.805341552534658,2015-01-01,"state40"
0.751060041502278,2015-01-01,"state41"
0.731641244141217,2015-01-01,"state42"
0.706769970576994,2015-01-01,"state44"
0.828353898040117,2015-01-01,"state45"
0.769402448676849,2015-01-01,"state46"
0.854128084357869,2015-01-01,"state47"
0.880935256576116,2015-01-01,"state48"
0.761242041322186,2015-01-01,"state49"
0.747179859197287,2015-01-01,"state50"
0.836641671485891,2015-01-01,"state51"
0.829720096173188,2015-01-01,"state53"
0.744987924202884,2015-01-01,"state54"
0.718190515087165,2015-01-01,"state55"
0.753873139676494,2015-01-01,"state56"
0.825174254489505,2016-01-01,"state01"
0.8187169395167,2016-01-01,"state02"
0.836480754739225,2016-01-01,"state04"
0.80910513215273,2016-01-01,"state05"
0.745301417844212,2016-01-01,"state06"
0.819818416735257,2016-01-01,"state08"
0.746170998174487,2016-01-01,"state09"
0.821353289311212,2016-01-01,"state10"
0.868605303612481,2016-01-01,"state12"
0.875405194486812,2016-01-01,"state13"
0.891996464550827,2016-01-01,"state15"
0.838472116450339,2016-01-01,"state16"
0.782660501158842,2016-01-01,"state17"
0.79551489208746,2016-01-01,"state18"
0.70382422070237,2016-01-01,"state19"
0.77564707735676,2016-01-01,"state20"
0.856301411743683,2016-01-01,"state21"
0.874387672395046,2016-01-01,"state22"
0.744415183628818,2016-01-01,"state23"
0.748293770949334,2016-01-01,"state24"
0.757778710327204,2016-01-01,"state25"
0.784039946202076,2016-01-01,"state26"
0.757005018563002,2016-01-01,"state27"
0.863804613283397,2016-01-01,"state28"
0.783686207046127,2016-01-01,"state29"
0.761861152400385,2016-01-01,"state30"
0.713620278841014,2016-01-01,"state31"
0.891506900175429,2016-01-01,"state32"
0.776419537451442,2016-01-01,"state33"
0.745987778654095,2016-01-01,"state34"
0.798876307587485,2016-01-01,"state35"
0.787311726716224,2016-01-01,"state36"
0.820880960917677,2016-01-01,"state37"
0.781790028766856,2016-01-01,"state38"
0.745292744741952,2016-01-01,"state39"
0.802308579624168,2016-01-01,"state40"
0.762013788382806,2016-01-01,"state41"
0.730806163423129,2016-01-01,"state42"
0.703879702884726,2016-01-01,"state44"
0.825601744910884,2016-01-01,"state45"
0.766388349474418,2016-01-01,"state46"
0.853456206415466,2016-01-01,"state47"
0.880582051795908,2016-01-01,"state48"
0.763693054795489,2016-01-01,"state49"
0.747138915832345,2016-01-01,"state50"
0.836252619574944,2016-01-01,"state51"
0.840355945768298,2016-01-01,"state53"
0.755262635480669,2016-01-01,"state54"
0.716430337211106,2016-01-01,"state55"
0.756091597333261,2016-01-01,"state56"
0.827880462519672,2017-01-01,"state01"
0.835844980745287,2017-01-01,"state04"
0.810453120599581,2017-01-01,"state05"
0.742607263801533,2017-01-01,"state06"
0.817302598811765,2017-01-01,"state08"
0.749350784179076,2017-01-01,"state09"
0.826981092568661,2017-01-01,"state10"
0.865982310457065,2017-01-01,"state12"
0.876010741207583,2017-01-01,"state13"
0.89095551137805,2017-01-01,"state15"
