"date","geo_level","category_id","subcategory_id","formal_care_labor_force","formal_care_labor_force_proportion","formal_care_time","formal_care_time_proportion","formal_value","formal_value_proportion"
1995-01-01,"state17","overall","overall",1304999.12,0.152188000900758,NA,NA,NA,NA
1995-01-01,"state18","overall","overall",546379.34,0.130563697004799,NA,NA,NA,NA
1995-01-01,"state19","overall","overall",385722.79,0.186955252362028,NA,NA,NA,NA
1995-01-01,"state20","overall","overall",358645.88,0.195842630117722,NA,NA,NA,NA
1995-01-01,"state21","overall","overall",421569.98,0.147968663958132,NA,NA,NA,NA
1995-01-01,"state22","overall","overall",467290.02,0.151238384333313,NA,NA,NA,NA
1995-01-01,"state23","overall","overall",158152.7,0.171803725823099,NA,NA,NA,NA
1995-01-01,"state24","overall","overall",643581.18,0.171304474339671,NA,NA,NA,NA
1995-01-01,"state25","overall","overall",757302.16,0.166344987101579,NA,NA,NA,NA
1995-01-01,"state26","overall","overall",996989.99,0.144108889700943,NA,NA,NA,NA
1995-01-01,"state27","overall","overall",567284.75,0.173420319366521,NA,NA,NA,NA
1995-01-01,"state28","overall","overall",265043.99,0.139026442337891,NA,NA,NA,NA
1995-01-01,"state29","overall","overall",639836.38,0.163639485718268,NA,NA,NA,NA
1995-01-01,"state30","overall","overall",111572.39,0.179342022568513,NA,NA,NA,NA
1995-01-01,"state31","overall","overall",222257.58,0.190222096086997,NA,NA,NA,NA
1995-01-01,"state32","overall","overall",192348.73,0.170223344768595,NA,NA,NA,NA
1995-01-01,"state33","overall","overall",132002.24,0.154778294818405,NA,NA,NA,NA
1995-01-01,"state34","overall","overall",866111.18,0.147663500098648,NA,NA,NA,NA
1995-01-01,"state35","overall","overall",202711.04,0.171667316460244,NA,NA,NA,NA
1995-01-01,"state36","overall","overall",2162132.06,0.159787585711797,NA,NA,NA,NA
1995-01-01,"state37","overall","overall",769174.21,0.144829895246873,NA,NA,NA,NA
1995-01-01,"state38","overall","overall",83087.7,0.185225241934738,NA,NA,NA,NA
1995-01-01,"state39","overall","overall",1201081.87,0.14911746751806,NA,NA,NA,NA
1995-01-01,"state40","overall","overall",355001.37,0.149463595959744,NA,NA,NA,NA
1995-01-01,"state41","overall","overall",358817.88,0.155080505764766,NA,NA,NA,NA
1995-01-01,"state42","overall","overall",1381340.17,0.153225969315422,NA,NA,NA,NA
1995-01-01,"state44","overall","overall",129772.19,0.176748437419408,NA,NA,NA,NA
1995-01-01,"state45","overall","overall",404973.57,0.150448754396938,NA,NA,NA,NA
1995-01-01,"state46","overall","overall",85115.59,0.169301019880653,NA,NA,NA,NA
1995-01-01,"state47","overall","overall",582102.18,0.147696341143991,NA,NA,NA,NA
1995-01-01,"state48","overall","overall",2141065.05,0.162749584354675,NA,NA,NA,NA
1995-01-01,"state49","overall","overall",201842.98,0.159006912192486,NA,NA,NA,NA
1995-01-01,"state50","overall","overall",81454.74,0.188283184731185,NA,NA,NA,NA
1995-01-01,"state51","overall","overall",718239.34,0.146478713567708,NA,NA,NA,NA
1995-01-01,"state53","overall","overall",647107.77,0.165278386184309,NA,NA,NA,NA
1995-01-01,"state54","overall","overall",211901.38,0.150649247461433,NA,NA,NA,NA
1995-01-01,"state55","overall","overall",649663.45,0.177050139163461,NA,NA,NA,NA
1995-01-01,"state56","overall","overall",66017.43,0.192693407337643,NA,NA,NA,NA
1996-01-01,"state01","overall","overall",500095.9,0.158241031056764,NA,NA,NA,NA
1996-01-01,"state02","overall","overall",69657.39,0.167929920984879,NA,NA,NA,NA
1996-01-01,"state04","overall","overall",446850.28,0.143048476333963,NA,NA,NA,NA
1996-01-01,"state05","overall","overall",250084.77,0.136049185150939,NA,NA,NA,NA
1996-01-01,"state06","overall","overall",3449170.39,0.150758013357659,NA,NA,NA,NA
1996-01-01,"state08","overall","overall",454247.07,0.163513568384029,NA,NA,NA,NA
1996-01-01,"state09","overall","overall",342907.49,0.142456953971764,NA,NA,NA,NA
1996-01-01,"state10","overall","overall",91871.94,0.172122467073819,NA,NA,NA,NA
1996-01-01,"state11","overall","overall",62600.58,0.148821257412436,NA,NA,NA,NA
1996-01-01,"state12","overall","overall",1679218.97,0.155572739536213,NA,NA,NA,NA
1996-01-01,"state13","overall","overall",855322.68,0.160740813547617,NA,NA,NA,NA
1996-01-01,"state15","overall","overall",164058.61,0.18899185572521,NA,NA,NA,NA
1996-01-01,"state16","overall","overall",129401.39,0.155246462449217,NA,NA,NA,NA
1996-01-01,"state17","overall","overall",1353311.22,0.1567723029915,NA,NA,NA,NA
1996-01-01,"state18","overall","overall",616755.03,0.14445572679817,NA,NA,NA,NA
1996-01-01,"state19","overall","overall",391116.05,0.190776872322069,NA,NA,NA,NA
1996-01-01,"state20","overall","overall",335035.03,0.182394404232619,NA,NA,NA,NA
1996-01-01,"state21","overall","overall",429080.64,0.150058403715159,NA,NA,NA,NA
