"activity_id","geo_level","provider_attention","provision_interval","population"
"banking","state22","active",319951.351508516,35196.2353446077
"banking","state35","active",438636.351000796,31314.2149761479
"banking","state41","active",1494104.40522562,78967.4054381036
"banking","state34","active",1179186.8989137,48380.6490945573
"banking","state09","active",319672.371128917,41302.2065851595
"banking","state20","active",2143653.1993393,63143.1998649912
"banking","state54","active",542750.236049878,75334.0870080899
"banking","state42","active",5270917.71770309,270817.398489238
"banking","state17","active",2634217.82787509,158637.280392016
"banking","state13","active",1427675.55077483,50843.2613016597
"banking","state29","active",1081526.00585308,91259.1293168762
"banking","state01","active",1440783.55116752,72697.5490270778
"banking","state24","active",1069503.1907476,62755.4708199715
"banking","state04","active",1312536.95660927,124663.257359224
"banking","state18","active",2807831.35104598,81485.7197665753
"banking","state45","active",507975.928935857,55045.7627491386
"banking","state16","active",204210.495457041,45101.8412047737
"banking","state53","active",1647837.27590869,132276.147089248
"banking","state47","active",4998950.29185783,140371.312647322
"banking","state33","active",228543.121029112,21476.8529177079
"banking","state31","active",1442757.21341775,38334.2572774685
"banking","state49","active",322005.993114475,28943.7136263271
"banking","state28","active",884746.292622629,42459.7548822904
"banking","state10","active",204823.383178156,18636.4487030805
"banking","state30","active",93176.5851143507,9317.65851143507
"banking","state50","active",67364.7101758164,7691.98755588658
"banking","state15","active",95198.6709841315,19039.7341968263
"banking","state32","active",1024666.08794951,26135.4721497425
"banking","state23","active",12334.3534306093,4111.45114353644
"banking","state38","active",16651.1463185786,8325.57315928932
"banking","state56","active",112174.207771101,5608.71038855507
"banking","state02","active",101075.748673315,6738.38324488767
"clothing-maitanence","state36","active",26517257.9659099,151448.322590956
"clothing-maitanence","state27","active",14518549.7644394,80823.0301531989
"clothing-maitanence","state55","active",14935517.2748456,78780.675986909
"clothing-maitanence","state18","active",8131769.88422063,39319.9038464334
"clothing-maitanence","state22","active",3659172.14821835,23609.9266764493
"clothing-maitanence","state17","active",15338154.6088437,80173.3227973715
"clothing-maitanence","state51","active",15114215.5453352,91335.1753508142
"clothing-maitanence","state42","active",21447084.693223,127048.407480388
"clothing-maitanence","state12","active",16484520.4162121,102370.576708256
"clothing-maitanence","state26","active",20174600.5613056,105426.419567632
"clothing-maitanence","state32","active",2990768.67381197,25618.8548391901
"clothing-maitanence","state34","active",14727410.0337949,71782.5200233134
"clothing-maitanence","state48","active",31632423.8423895,189923.313141552
"clothing-maitanence","state05","active",2515505.2249904,10655.2618708214
"clothing-maitanence","state25","active",5564002.10143362,50432.5944017611
"clothing-maitanence","state13","active",17204498.9331846,103425.756773051
"clothing-maitanence","state29","active",10482334.6867221,42777.0093270877
"clothing-maitanence","state41","active",10213209.8909406,46456.9204758597
"clothing-maitanence","state53","active",15047590.088423,69344.1291950126
"clothing-maitanence","state38","active",1406128.46571039,10709.2753243901
"clothing-maitanence","state56","active",939557.057584597,5733.35186367562
"clothing-maitanence","state21","active",3673715.76463412,43475.5554600822
"clothing-maitanence","state06","active",36901241.5400128,207561.505094849
"clothing-maitanence","state30","active",3836597.62257203,17379.0329660159
"clothing-maitanence","state09","active",2806159.34783506,29836.4909483014
"clothing-maitanence","state20","active",12634729.714107,69900.6573471096
"clothing-maitanence","state04","active",4773618.68023429,30506.8037003452
"clothing-maitanence","state33","active",1632824.46087285,13909.5881043332
"clothing-maitanence","state24","active",2941514.68997196,39642.2373538931
"clothing-maitanence","state23","active",4303502.18771183,24721.1352884351
"clothing-maitanence","state16","active",3610211.49072101,18533.7959004789
"clothing-maitanence","state31","active",3623899.5199176,27491.5223211567
"clothing-maitanence","state40","active",15762924.9505635,53729.7295237534
"clothing-maitanence","state37","active",7726866.58848341,67169.4759607326
"clothing-maitanence","state45","active",7392111.83704809,49864.247437097
"clothing-maitanence","state49","active",7805012.75235353,37229.166098697
"clothing-maitanence","state39","active",17016735.2698295,83241.9613116159
"clothing-maitanence","state28","active",2557043.77608293,16241.857534983
"clothing-maitanence","state54","active",1084435.88714811,7642.70416436931
"clothing-maitanence","state50","active",4400306.92768253,21610.261894766
"clothing-maitanence","state35","active",4496336.10106416,33543.8791684499
"clothing-maitanence","state08","active",7925737.21330985,42273.6042382932
"clothing-maitanence","state47","active",6110744.9317366,35710.7346315973
"clothing-maitanence","state10","active",369177.922947014,3691.77922947014
"clothing-maitanence","state01","active",3787837.49277945,31072.6865486016
"clothing-maitanence","state19","active",3296431.79896788,32253.0536198877
"clothing-maitanence","state15","active",524815.803082977,6006.43574598356
"clothing-maitanence","state44","active",1979393.83255552,22033.8856517496
"clothing-maitanence","state02","active",365857.966008362,6097.63276680603
"clothing-maitanence","state46","active",147040.701958816,2450.67836598027
"daily-living-travel","state25","active",123611223.349419,2677973.35255448
"daily-living-travel","state48","active",513079113.685924,11261005.8624841
"daily-living-travel","state55","active",101667979.424055,2326234.24150825
"daily-living-travel","state49","active",67512874.0258378,1461942.06503428
"daily-living-travel","state09","active",57561473.9759748,1208403.30517803
"daily-living-travel","state26","active",168139921.170679,3528100.26571365
"daily-living-travel","state36","active",320155230.93376,6802300.00726792
"daily-living-travel","state06","active",594437422.746239,12743903.3860988
"daily-living-travel","state21","active",87798679.7461568,1884456.69651448
"daily-living-travel","state51","active",185731613.844071,3819970.29601583
"daily-living-travel","state19","active",60123389.4632813,1374777.24988035
"daily-living-travel","state13","active",253697954.981757,4229442.9160711
"daily-living-travel","state34","active",143675737.907742,3244848.42171373
"daily-living-travel","state08","active",148589987.000421,2701752.57122244
"daily-living-travel","state53","active",172122740.251674,3261382.43422453
"daily-living-travel","state41","active",78771175.9521314,1940857.78365852
"daily-living-travel","state31","active",35670124.3714329,920124.415235355
"daily-living-travel","state39","active",243042141.685403,5215714.23140088
"daily-living-travel","state24","active",128179082.470474,2666806.59179814
"daily-living-travel","state47","active",133633541.650721,2725963.63542795
"daily-living-travel","state27","active",94844718.2675125,2403708.11139934
"daily-living-travel","state40","active",56428614.9709415,1339428.42656911
"daily-living-travel","state37","active",171460373.79747,3525203.4443319
"daily-living-travel","state20","active",57367952.7217859,1455859.98840976
"daily-living-travel","state38","active",19295681.2456871,315976.094395947
"daily-living-travel","state12","active",316659308.035166,6927733.48756912
"daily-living-travel","state22","active",66966278.9076351,1492175.6894221
"daily-living-travel","state29","active",99215399.0726093,2428320.23138642
"daily-living-travel","state54","active",33318395.1526517,699468.580515848
"daily-living-travel","state18","active",128926848.967067,2834068.58022742
"daily-living-travel","state35","active",32814211.467443,748426.832446083
"daily-living-travel","state42","active",236462678.678378,5056536.11909226
"daily-living-travel","state04","active",119880070.103092,2560939.10638689
"daily-living-travel","state28","active",43975317.837521,965705.19377483
"daily-living-travel","state32","active",43056100.7014945,900921.407395504
"daily-living-travel","state05","active",63095146.0768225,1141527.00558007
"daily-living-travel","state50","active",15092435.4281346,277174.431456582
"daily-living-travel","state46","active",9745458.21265132,253622.539237632
"daily-living-travel","state45","active",101589893.795735,2118643.37284345
"daily-living-travel","state01","active",81746896.8968134,1735479.65263884
"daily-living-travel","state10","active",18419416.9225549,371336.080718401
"daily-living-travel","state17","active",245359295.143557,5228911.26506649
"daily-living-travel","state44","active",16746527.2817941,373615.001924612
"daily-living-travel","state16","active",28905335.6887582,702956.031192276
"daily-living-travel","state15","active",18281173.7101763,391778.807927654
"daily-living-travel","state30","active",21208313.0131712,409688.982114283
"daily-living-travel","state23","active",23259571.8191596,532817.939722779
"daily-living-travel","state02","active",3914129.9981605,141144.969457898
"daily-living-travel","state33","active",26755777.6795595,552667.892857613
"daily-living-travel","state11","active",18578080.0905413,404417.862147336
"daily-living-travel","state56","active",13766854.9269138,266832.153091958
"developmental-travel","state50","active",2634188.24976548,41124.8172220466
"developmental-travel","state36","active",57491274.7428949,1423711.84590105
"developmental-travel","state48","active",141016671.956076,3502606.90829038
"developmental-travel","state19","active",18292052.4477208,461765.090313599
"developmental-travel","state13","active",42177882.660745,900923.874227862
"developmental-travel","state47","active",26020235.2961882,568445.289595061
"developmental-travel","state06","active",154547404.045996,3482127.14689772
"developmental-travel","state56","active",2304136.24517471,79287.4956792301
"developmental-travel","state40","active",13783828.7846931,401453.141860261
"developmental-travel","state12","active",91059264.6799622,1733295.00103091
"developmental-travel","state21","active",18021627.5043167,460872.200437468
"developmental-travel","state28","active",12414248.1547885,288584.717986544
"developmental-travel","state25","active",33373344.0885422,741753.585810579
"developmental-travel","state26","active",40221800.2104318,927411.174670434
"developmental-travel","state29","active",15524281.4284243,446772.367031243
"developmental-travel","state27","active",24284196.9774121,559199.785571279
"developmental-travel","state31","active",9204404.33141172,211418.239009214
"developmental-travel","state53","active",33974534.6891761,826993.390404393
"developmental-travel","state55","active",24113676.4257019,658318.164941367
"developmental-travel","state39","active",50671219.6308281,1249004.21818881
"developmental-travel","state42","active",46670428.0384159,1136094.48758198
"developmental-travel","state05","active",13021364.4218904,240129.679895441
"developmental-travel","state37","active",34130233.8118824,832676.931731283
"developmental-travel","state18","active",20539578.604863,592208.099743513
"developmental-travel","state09","active",8091527.33223835,294220.65418415
"developmental-travel","state08","active",21413717.7534579,502203.86055155
"developmental-travel","state45","active",24073481.7455756,548240.842421293
"developmental-travel","state38","active",5913252.85434488,113894.445753464
"developmental-travel","state20","active",15924492.5900544,463044.162852706
"developmental-travel","state24","active",31214239.3971003,744833.568471481
"developmental-travel","state41","active",16488414.7073046,450052.054471704
"developmental-travel","state51","active",41504779.2470657,1009989.73285325
"developmental-travel","state17","active",66600883.4263155,1474761.56771341
"developmental-travel","state15","active",2187913.82609103,59142.5117163441
"developmental-travel","state33","active",3412690.53576215,97993.6773016362
"developmental-travel","state01","active",12949973.6862016,338272.927544888
"developmental-travel","state34","active",38254954.6433855,997751.353838397
"developmental-travel","state16","active",6731102.81155665,206252.682022008
"developmental-travel","state35","active",6048348.85158511,118716.608536142
"developmental-travel","state04","active",24821365.8704824,570877.745700512
"developmental-travel","state10","active",2616380.32337753,69402.8200420586
"developmental-travel","state32","active",7928604.05827527,164205.999682841
"developmental-travel","state49","active",13884592.5111825,367452.892061468
"developmental-travel","state22","active",16611038.5500282,431130.416232947
"developmental-travel","state54","active",5902937.33504145,145515.781613211
"developmental-travel","state11","active",2623717.66880173,59488.5889613419
"developmental-travel","state23","active",3943461.19674276,98924.4941055945
"developmental-travel","state44","active",5380735.77863191,80959.3912890745
"developmental-travel","state46","active",2581193.67575964,75161.3058528723
"developmental-travel","state30","active",2880872.38155454,82191.0641340515
"developmental-travel","state02","active",1655664.13849842,52718.2819266937
"exterior-cleaning","state48","active",270935612.379769,2317539.34481744
"exterior-cleaning","state55","active",76776253.1059355,608392.547508806
"exterior-cleaning","state36","active",142914711.599797,1037831.80829541
"exterior-cleaning","state50","active",8984034.06653739,79670.4965690926
"exterior-cleaning","state06","active",314496547.761407,3128791.79576461
"exterior-cleaning","state27","active",87801127.592728,766986.633167581
"exterior-cleaning","state56","active",8587289.08064995,85297.5464705151
"exterior-cleaning","state28","active",31145513.4709496,206995.715141089
"exterior-cleaning","state13","active",143509737.573534,1019108.16550873
"exterior-cleaning","state35","active",25931044.5526377,235214.220526523
"exterior-cleaning","state09","active",38088610.3358298,274729.318315792
"exterior-cleaning","state08","active",45861715.318273,501886.331856158
"exterior-cleaning","state37","active",112137516.916821,828312.39056036
"exterior-cleaning","state39","active",164304425.290265,1097387.47935523
"exterior-cleaning","state19","active",46356454.0812662,353347.326700105
"exterior-cleaning","state32","active",21664824.7862001,196388.287277001
"exterior-cleaning","state12","active",167009484.217859,1384396.72042129
"exterior-cleaning","state26","active",126553737.304686,1047128.78919062
"exterior-cleaning","state04","active",85130919.5981193,686725.629052728
"exterior-cleaning","state41","active",64585310.4147812,554821.83058518
"exterior-cleaning","state18","active",77110748.4960543,667165.995189062
"exterior-cleaning","state05","active",27854177.6912422,234191.995004015
"exterior-cleaning","state53","active",105590592.418157,867526.502317087
"exterior-cleaning","state34","active",84232205.7230905,708142.225863284
"exterior-cleaning","state01","active",56752698.0469949,424185.887415801
"exterior-cleaning","state45","active",56017689.2363977,468147.090576009
"exterior-cleaning","state31","active",26001124.8426926,226015.031261335
"exterior-cleaning","state25","active",67526067.2543755,581233.384592484
"exterior-cleaning","state42","active",138937332.214258,1086162.45463258
"exterior-cleaning","state30","active",21456381.3999335,128597.135090405
"exterior-cleaning","state17","active",110219990.338385,969745.121230222
"exterior-cleaning","state15","active",9475333.83549189,101730.978818892
"exterior-cleaning","state21","active",35565281.640787,303689.692420969
"exterior-cleaning","state49","active",26419803.5376879,275421.978845882
"exterior-cleaning","state20","active",30274839.9491181,245047.201581139
"exterior-cleaning","state51","active",86995325.4606982,767758.612749027
"exterior-cleaning","state33","active",18705099.5762363,169441.037326613
"exterior-cleaning","state47","active",73252532.0991735,493741.197375808
"exterior-cleaning","state23","active",20206334.0465757,162971.401643519
"exterior-cleaning","state44","active",12763368.4679158,73062.5803463271
"exterior-cleaning","state40","active",34464167.1075288,318605.817696037
"exterior-cleaning","state24","active",37466841.0822262,249425.30825402
"exterior-cleaning","state29","active",70217337.5214403,608132.667577666
"exterior-cleaning","state54","active",27622842.3529997,155769.658010503
"exterior-cleaning","state22","active",53838476.022885,319475.49436052
"exterior-cleaning","state16","active",30001262.245907,234293.40700194
"exterior-cleaning","state38","active",10739192.1517642,105505.28848173
"exterior-cleaning","state02","active",12136621.4815755,67228.4527196274
"exterior-cleaning","state46","active",7836204.79045543,65713.5715432192
"exterior-cleaning","state10","active",8360702.69719234,83936.6783968773
"exterior-cleaning","state11","active",962622.150693528,30424.9540562433
"food-and-drink-preparation","state26","active",250878777.927977,4653597.0139953
"food-and-drink-preparation","state36","active",467370112.784771,8311224.87738853
"food-and-drink-preparation","state48","active",685157566.33396,12969201.5748559
"food-and-drink-preparation","state55","active",169192989.334972,3291008.50750375
"food-and-drink-preparation","state18","active",155591129.301091,3199969.29398991
"food-and-drink-preparation","state01","active",95688671.2232901,2002662.57601915
"food-and-drink-preparation","state09","active",90599425.899275,1741088.46041844
"food-and-drink-preparation","state06","active",920288388.576418,15373702.2422891
"food-and-drink-preparation","state34","active",245033421.273342,4067277.58080006
"food-and-drink-preparation","state27","active",165867801.729698,3466745.18890554
"food-and-drink-preparation","state19","active",87008465.9383994,1765201.24391109
"food-and-drink-preparation","state45","active",131135310.558454,2524987.85728921
"food-and-drink-preparation","state08","active",154984249.603383,2786101.91505779
"food-and-drink-preparation","state13","active",280915832.161098,5289227.20514515
"food-and-drink-preparation","state41","active",122536974.314274,2454046.41721459
"food-and-drink-preparation","state31","active",48290638.0305466,990285.432359227
"food-and-drink-preparation","state39","active",274092131.781174,5911371.73766574
"food-and-drink-preparation","state47","active",156779859.984857,3323618.91533663
"food-and-drink-preparation","state37","active",222151539.995115,4392539.10491566
"food-and-drink-preparation","state54","active",50666512.0622271,1034148.23191988
"food-and-drink-preparation","state17","active",310262365.599665,6396593.79107952
"food-and-drink-preparation","state56","active",23102320.3975875,374297.097800843
"food-and-drink-preparation","state40","active",82261619.3588981,1725683.76247441
"food-and-drink-preparation","state05","active",73459268.2375462,1325907.25634856
"food-and-drink-preparation","state21","active",110467958.577496,2060024.7190075
"food-and-drink-preparation","state24","active",147118786.865374,2975107.64422191
"food-and-drink-preparation","state20","active",68422845.1232155,1443102.59795157
"food-and-drink-preparation","state38","active",21836914.938297,430554.494006238
"food-and-drink-preparation","state12","active",456828792.313604,8521807.64275159
"food-and-drink-preparation","state25","active",194233949.586374,3665217.63847195
"food-and-drink-preparation","state28","active",64907546.7395135,1232325.00787057
"food-and-drink-preparation","state33","active",38695981.0574507,683953.048129809
"food-and-drink-preparation","state29","active",161143681.495113,3096292.12083096
"food-and-drink-preparation","state49","active",77556634.3889195,1546695.94460439
"food-and-drink-preparation","state42","active",313820150.225537,6300646.28339392
"food-and-drink-preparation","state35","active",53729058.8278798,983509.913205201
"food-and-drink-preparation","state32","active",67902918.9002712,1194406.37853866
"food-and-drink-preparation","state53","active",232382729.33152,4350379.03642665
"food-and-drink-preparation","state46","active",22940652.8218288,406785.838766967
"food-and-drink-preparation","state22","active",94769194.0574569,1786821.1440641
"food-and-drink-preparation","state16","active",45489475.4863627,812797.648194113
"food-and-drink-preparation","state51","active",232657756.833068,4517049.70801047
"food-and-drink-preparation","state04","active",170089603.972737,3011235.59960705
"food-and-drink-preparation","state15","active",25121783.0337947,462286.435771357
"food-and-drink-preparation","state44","active",21884902.9743508,473116.409556586
"food-and-drink-preparation","state02","active",12880722.3728713,216456.97321777
"food-and-drink-preparation","state50","active",12870267.7445563,336066.693315285
"food-and-drink-preparation","state10","active",34730462.1481215,566974.491362578
"food-and-drink-preparation","state30","active",31319882.270547,545629.936876994
"food-and-drink-preparation","state23","active",40499051.5498514,762769.035193458
"food-and-drink-preparation","state11","active",26471376.6144309,474823.074787878
"general-childcare","state18","active",1334249.00701038,29418.3875729216
"general-childcare","state48","active",2882339.01701808,38939.6813989721
"general-childcare","state54","active",931649.119731286,9362.75294571836
"general-childcare","state53","active",4076456.29421125,28287.3645355869
"general-childcare","state51","active",1025226.67959641,22186.8396074784
"general-childcare","state09","active",2886316.22155992,15298.6800512542
"general-childcare","state17","active",9585960.93825453,42386.2759884564
"general-childcare","state01","active",80629.2517340384,4031.46258670192
"general-childcare","state13","active",1374569.02228145,12701.9064463348
"general-childcare","state38","active",292622.509181397,4180.32155973425
"general-childcare","state47","active",2384078.45023358,16721.1907890121
"general-childcare","state12","active",745997.384290353,23499.0474867512
"general-childcare","state39","active",343148.281435301,20919.6504643918
"general-childcare","state42","active",1399727.91782627,12266.6958880384
"general-childcare","state55","active",574769.534878347,11880.8577464822
"general-childcare","state08","active",3541883.64031421,43760.6526729512
"general-childcare","state36","active",3498450.07098639,32559.4252220773
"general-childcare","state28","active",129326.258578825,14145.7265546345
"general-childcare","state26","active",2558119.71735907,11535.0687600334
"general-childcare","state27","active",136709.930995134,6835.49654975671
"general-childcare","state37","active",13041660.8923168,29920.2364090268
"general-childcare","state41","active",1468076.37345111,7409.80457620986
"general-childcare","state06","active",5152795.29441311,44562.4866168367
"general-childcare","state46","active",204224.198510203,6807.47328367342
"general-childcare","state05","active",159026.411200044,5300.88037333479
