"date","geo_level","category_id","subcategory_id","formal_care_time","formal_care_time_proportion","care_flag","informal_care_time","informal_care_time_proportion"
1995-01-01,"state19","overall","overall",121358389.457143,0.259935770144821,NA,NA,NA
1995-01-01,"state20","overall","overall",111398216.314286,0.282114371163891,NA,NA,NA
1995-01-01,"state21","overall","overall",114468572.4,0.224757965155393,NA,NA,NA
1995-01-01,"state22","overall","overall",132394047.257143,0.241901824898125,NA,NA,NA
1995-01-01,"state23","overall","overall",42859358.4,0.25589387878556,NA,NA,NA
1995-01-01,"state24","overall","overall",190830079.371429,0.233210259436816,NA,NA,NA
1995-01-01,"state25","overall","overall",220573085.057143,0.238275187968329,NA,NA,NA
1995-01-01,"state26","overall","overall",288898722.685714,0.211451368349147,NA,NA,NA
1995-01-01,"state27","overall","overall",159352440,0.20944752320623,NA,NA,NA
1995-01-01,"state28","overall","overall",75939510.4285714,0.218190032415713,NA,NA,NA
1995-01-01,"state29","overall","overall",185281598.4,0.239747146854804,NA,NA,NA
1995-01-01,"state30","overall","overall",33416389.1142857,0.273004813899573,NA,NA,NA
1995-01-01,"state31","overall","overall",72984649.2,0.252711644569366,NA,NA,NA
1995-01-01,"state32","overall","overall",62665698.0857143,0.257830643194677,NA,NA,NA
1995-01-01,"state33","overall","overall",43475558.9142857,0.223521088989788,NA,NA,NA
1995-01-01,"state34","overall","overall",261799293.6,0.216897331174084,NA,NA,NA
1995-01-01,"state35","overall","overall",62451120.2571429,0.269466472918552,NA,NA,NA
1995-01-01,"state36","overall","overall",633783103.285714,0.26365894066939,NA,NA,NA
1995-01-01,"state37","overall","overall",230074074.942857,0.214042493188909,NA,NA,NA
1995-01-01,"state38","overall","overall",22624930.4571429,0.251605938880131,NA,NA,NA
1995-01-01,"state39","overall","overall",345769283.742857,0.215374055494098,NA,NA,NA
1995-01-01,"state40","overall","overall",101736074.914286,0.236642353509023,NA,NA,NA
1995-01-01,"state41","overall","overall",94030462.9714286,0.201647609806835,NA,NA,NA
1995-01-01,"state42","overall","overall",386873197.028571,0.23049743374561,NA,NA,NA
1995-01-01,"state44","overall","overall",35854351.8,0.280422338646611,NA,NA,NA
1995-01-01,"state45","overall","overall",118606067.142857,0.212983592211069,NA,NA,NA
1995-01-01,"state46","overall","overall",26244279.6,0.232173398052317,NA,NA,NA
1995-01-01,"state47","overall","overall",171245065.885714,0.21782515309821,NA,NA,NA
1995-01-01,"state48","overall","overall",674801992.971429,0.237713624658674,NA,NA,NA
1995-01-01,"state49","overall","overall",59553298.2857143,0.214926976761158,NA,NA,NA
1995-01-01,"state50","overall","overall",24058711.1142857,0.255189052109017,NA,NA,NA
1995-01-01,"state51","overall","overall",216758216.142857,0.195105104327352,NA,NA,NA
1995-01-01,"state53","overall","overall",186309716.914286,0.232402200439276,NA,NA,NA
1995-01-01,"state54","overall","overall",62276086.2857143,0.276189253663155,NA,NA,NA
1995-01-01,"state55","overall","overall",192004853.485714,0.226070943838882,NA,NA,NA
1995-01-01,"state56","overall","overall",18450830.9142857,0.248316869849164,NA,NA,NA
1996-01-01,"state01","overall","overall",141302067,0.262154894437981,NA,NA,NA
1996-01-01,"state02","overall","overall",22757429.3142857,0.260925568843306,NA,NA,NA
1996-01-01,"state04","overall","overall",131955456.514286,0.218996007426009,NA,NA,NA
1996-01-01,"state05","overall","overall",69638328.5142857,0.197837357050444,NA,NA,NA
1996-01-01,"state06","overall","overall",1024369825.11429,0.231284251858887,NA,NA,NA
1996-01-01,"state08","overall","overall",140738037.6,0.215260544292319,NA,NA,NA
1996-01-01,"state09","overall","overall",109625048.742857,0.221108362476425,NA,NA,NA
1996-01-01,"state10","overall","overall",28372012.1142857,0.258484806349118,NA,NA,NA
1996-01-01,"state11","overall","overall",20319219.9428571,0.240383574433676,NA,NA,NA
1996-01-01,"state12","overall","overall",526733865.171429,0.26018010086084,NA,NA,NA
1996-01-01,"state13","overall","overall",243505834.028571,0.2271875155079,NA,NA,NA
1996-01-01,"state15","overall","overall",47337648,0.293624676892667,NA,NA,NA
1996-01-01,"state16","overall","overall",36688743.4285714,0.220595446913077,NA,NA,NA
1996-01-01,"state17","overall","overall",402244305.857143,0.223990011589287,NA,NA,NA
1996-01-01,"state18","overall","overall",185556603.771429,0.214486423320101,NA,NA,NA
1996-01-01,"state19","overall","overall",113965639.885714,0.247057363755127,NA,NA,NA
1996-01-01,"state20","overall","overall",99914636.4857143,0.256810198100703,NA,NA,NA
1996-01-01,"state21","overall","overall",120824222.485714,0.2470963027682,NA,NA,NA
1996-01-01,"state22","overall","overall",136244923.285714,0.239093464872473,NA,NA,NA
1996-01-01,"state23","overall","overall",41906314.2857143,0.224781098700312,NA,NA,NA
1996-01-01,"state24","overall","overall",200794628.571429,0.241992146331949,NA,NA,NA
1996-01-01,"state25","overall","overall",201271410.685714,0.222755585224108,NA,NA,NA
1996-01-01,"state26","overall","overall",299150243.914286,0.211983537405659,NA,NA,NA
1996-01-01,"state27","overall","overall",178297367.057143,0.231329232117792,NA,NA,NA
1996-01-01,"state28","overall","overall",84370924.9714286,0.250507108456019,NA,NA,NA
1996-01-01,"state29","overall","overall",191532554.057143,0.23765871415507,NA,NA,NA
1996-01-01,"state30","overall","overall",33922903.8,0.279665696984611,NA,NA,NA
1996-01-01,"state31","overall","overall",71073206.4857143,0.26029002995187,NA,NA,NA
1996-01-01,"state32","overall","overall",63763072.1142857,0.269728083851165,NA,NA,NA
1996-01-01,"state33","overall","overall",43546781.3142857,0.23126917236446,NA,NA,NA
1996-01-01,"state34","overall","overall",259082280.771429,0.215097940363801,NA,NA,NA
1996-01-01,"state35","overall","overall",58202375.8285714,0.263798196177979,NA,NA,NA
1996-01-01,"state36","overall","overall",632247982.542857,0.257901482183678,NA,NA,NA
1996-01-01,"state37","overall","overall",239886180.085714,0.207859606075589,NA,NA,NA
1996-01-01,"state38","overall","overall",24492152.4857143,0.271139304159972,NA,NA,NA
1996-01-01,"state39","overall","overall",361917430.542857,0.222671127633334,NA,NA,NA
1996-01-01,"state40","overall","overall",99350237.5714286,0.238459970691439,NA,NA,NA
1996-01-01,"state41","overall","overall",106838544.257143,0.21057233880161,NA,NA,NA
1996-01-01,"state42","overall","overall",407037096.428571,0.242775919197592,NA,NA,NA
1996-01-01,"state44","overall","overall",32941611.7714286,0.247473877517424,NA,NA,NA
1996-01-01,"state45","overall","overall",128700979.285714,0.237005769875218,NA,NA,NA
1996-01-01,"state46","overall","overall",27596824.3714286,0.242650977484833,NA,NA,NA
1996-01-01,"state47","overall","overall",182629779.428571,0.236139780379328,NA,NA,NA
1996-01-01,"state48","overall","overall",645630731.485714,0.2230023443604,NA,NA,NA
1996-01-01,"state49","overall","overall",55193345.8285714,0.200095830236687,NA,NA,NA
1996-01-01,"state50","overall","overall",25686719.4857143,0.264156754927869,NA,NA,NA
1996-01-01,"state51","overall","overall",194144520.942857,0.194881200606639,NA,NA,NA
1996-01-01,"state53","overall","overall",177854324.828571,0.210613721644474,NA,NA,NA
1996-01-01,"state54","overall","overall",54508416.4285714,0.261359210147491,NA,NA,NA
1996-01-01,"state55","overall","overall",206931180.771429,0.223882430246097,NA,NA,NA
1996-01-01,"state56","overall","overall",20863840.2,0.284740979849505,NA,NA,NA
1997-01-01,"state01","overall","overall",143636045.914286,0.23952341088044,NA,NA,NA
1997-01-01,"state02","overall","overall",23014855.2,0.253454600546068,NA,NA,NA
1997-01-01,"state04","overall","overall",153867135.257143,0.238201384392483,NA,NA,NA
1997-01-01,"state05","overall","overall",79076295.0857143,0.228101111224645,NA,NA,NA
1997-01-01,"state06","overall","overall",1059053310.94286,0.230864235107807,NA,NA,NA
1997-01-01,"state08","overall","overall",123910709.4,0.19657996512895,NA,NA,NA
1997-01-01,"state09","overall","overall",125981757.171429,0.256076745338162,NA,NA,NA
1997-01-01,"state10","overall","overall",28309998.4285714,0.252158126435002,NA,NA,NA
1997-01-01,"state11","overall","overall",22340393.9142857,0.272880504061116,NA,NA,NA
1997-01-01,"state12","overall","overall",516050228.4,0.251763615156955,NA,NA,NA
