"","date","category_id","subcategory_id","formal_care_time","formal_care_time_proportion"
"77",2013-01-01,"gender_parent","Other",1106223583.45714,0.288393922337589
"78",2014-01-01,"gender_parent","Childless Men",2545028857.37143,0.198684083189095
"79",2014-01-01,"gender_parent","Childless Women",3677505963.68571,0.382159181536641
"80",2014-01-01,"gender_parent","Fathers",1493858596.54286,0.159862807979432
"81",2014-01-01,"gender_parent","Mothers",3481799613.17143,0.453824390186182
"82",2014-01-01,"gender_parent","Other",1085561922.51429,0.285958586685069
"83",2015-01-01,"gender_parent","Childless Men",2373800604.17143,0.180531452702228
"84",2015-01-01,"gender_parent","Childless Women",3927921412.45714,0.396977053515437
"85",2015-01-01,"gender_parent","Fathers",1548321924.25714,0.165051821581899
"86",2015-01-01,"gender_parent","Mothers",3523725043.37143,0.45974797652378
"87",2015-01-01,"gender_parent","Other",1153538675.31429,0.289748356098803
"88",2016-01-01,"gender_parent","Childless Men",2649466203.6,0.192650680170227
"89",2016-01-01,"gender_parent","Childless Women",4143432959.57143,0.401567607063328
"90",2016-01-01,"gender_parent","Fathers",1561184149.45714,0.168080457614542
"91",2016-01-01,"gender_parent","Mothers",3531410114.91429,0.455927504777739
"92",2016-01-01,"gender_parent","Other",1166144296.45714,0.294267299336594
"93",2017-01-01,"gender_parent","Childless Men",2693010068.82857,0.193928114300531
"94",2017-01-01,"gender_parent","Childless Women",4301327885.74286,0.40002539239999
"95",2017-01-01,"gender_parent","Fathers",1562877437.91429,0.167185030940138
"96",2017-01-01,"gender_parent","Mothers",3530908073.48571,0.454372768984065
"97",2017-01-01,"gender_parent","Other",1240262976.08571,0.302020328506154
"98",2018-01-01,"gender_parent","Childless Men",2715462317.74286,0.190851373600056
"99",2018-01-01,"gender_parent","Childless Women",4361194672.02857,0.401331452243198
"100",2018-01-01,"gender_parent","Fathers",1517394658.8,0.160200229470169
"101",2018-01-01,"gender_parent","Mothers",3607209448.71429,0.457109545488518
"102",2018-01-01,"gender_parent","Other",1207919396.22857,0.298367480108628
"103",2019-01-01,"gender_parent","Childless Men",2614591173.85714,0.180714032592471
"104",2019-01-01,"gender_parent","Childless Women",4457871936.77143,0.398370058807425
"105",2019-01-01,"gender_parent","Fathers",1547827796.82857,0.164758641682732
"106",2019-01-01,"gender_parent","Mothers",3627380601.42857,0.460479053248016
"107",2019-01-01,"gender_parent","Other",1181404773.08571,0.292680454347363
"108",2020-01-01,"gender_parent","Childless Men",2580148324.94057,0.180649591505514
"109",2020-01-01,"gender_parent","Childless Women",4391671261.67486,0.394512496129171
"110",2020-01-01,"gender_parent","Fathers",1487262235.93286,0.163360903964926
"111",2020-01-01,"gender_parent","Mothers",3509623671.05314,0.453316728045067
"112",2020-01-01,"gender_parent","Other",1205806562.85943,0.294186865117363
"113",2021-01-01,"gender_parent","Childless Men",2331991439.40771,0.167122117796082
"114",2021-01-01,"gender_parent","Childless Women",4112486431.16743,0.380973636470908
"115",2021-01-01,"gender_parent","Fathers",1464334044.204,0.164401353289244
"116",2021-01-01,"gender_parent","Mothers",3402054502.35514,0.447717860557407
"117",2021-01-01,"gender_parent","Other",1184260029.75086,0.293483563186209
"118",2022-01-01,"gender_parent","Childless Men",2599836493.37143,0.176029619612553
"119",2022-01-01,"gender_parent","Childless Women",4389269441.14286,0.386600402813293
"120",2022-01-01,"gender_parent","Fathers",1508605137.08571,0.161465703055034
"121",2022-01-01,"gender_parent","Mothers",3554922257.57143,0.44417447840052
"122",2022-01-01,"gender_parent","Other",1204520830.02857,0.300032054951542
"123",2023-01-01,"gender_parent","Childless Men",2730632330.65714,0.180020099635481
"124",2023-01-01,"gender_parent","Childless Women",4510605465.77143,0.392333879494879
"125",2023-01-01,"gender_parent","Fathers",1532886205.37143,0.165078080033448
"126",2023-01-01,"gender_parent","Mothers",3624311277.08571,0.451293944019659
"127",2023-01-01,"gender_parent","Other",1243616146.11429,0.306624763695513
"128",2024-01-01,"gender_parent","Childless Men",2720905271.05714,0.18172612776753
"129",2024-01-01,"gender_parent","Childless Women",4594100460,0.396583372433225
"130",2024-01-01,"gender_parent","Fathers",1508980723.2,0.163932085525326
"131",2024-01-01,"gender_parent","Mothers",3530178331.02857,0.44707670397455
"132",2024-01-01,"gender_parent","Other",1327631976.68571,0.303605666527368
"133",2003-01-01,"educ","Bachelor's Degree",2257526393.22857,0.262781685220025
"134",2003-01-01,"educ","Graduate Degree",2037743596.97143,0.45616743863769
"135",2003-01-01,"educ","High School",2469720015.25714,0.20092966945918
"136",2003-01-01,"educ","No HS Diploma",1135954334.48571,0.280792997990722
"137",2003-01-01,"educ","Some College",2550090381.6,0.218753251692046
