"year","month","gender_parent","total_population","labor_force","lfpr"
1991,"July","Non-Fathers",53061526.59,36972793.64,69.6790989932957
1991,"July","Non-Mothers",51441971.18,27639060.59,53.7286187834609
1991,"July","Other",22822493.05,13040455.53,57.1386110247934
1991,"June","Fathers",28271867.64,26484387.82,93.6775318745798
1991,"June","Mothers",35424617.41,23448544.4,66.1927950515585
1991,"June","Non-Fathers",53044303.65,36901130.59,69.56662271124
1991,"June","Non-Mothers",51411042.07,27674223.87,53.8293385150985
1991,"June","Other",22647764.17,12650398.59,55.8571631841573
1991,"March","Fathers",28183394.57,26252401.01,93.1484706173207
1991,"March","Mothers",35073211.67,23226590.98,66.2231654133544
1991,"March","Non-Fathers",52936548.72,35611482.49,67.2720140452708
1991,"March","Non-Mothers",51698159.1,27127909.68,52.4736473256743
1991,"March","Other",22489490.79,11430113.14,50.8242416279271
1991,"May","Fathers",28121584.93,26314389.99,93.5736376719219
1991,"May","Mothers",35213749.23,23605874.86,67.03596003316
1991,"May","Non-Fathers",53153104.15,36148349.71,68.007974864437
1991,"May","Non-Mothers",51657838.15,27147447.91,52.5524274383519
1991,"May","Other",22503479.89,11599355.09,51.5447172912776
1991,"November","Fathers",28352075.47,26483125.42,93.4080661855688
1991,"November","Mothers",35282201.86,23820112.41,67.5131118644986
1991,"November","Non-Fathers",53244634.61,36043165.08,67.6935156828565
1991,"November","Non-Mothers",51696508.39,27073461.64,52.3700003794396
1991,"November","Other",23081418.24,12045149.55,52.1854828189275
1991,"October","Fathers",28397657.66,26602992.95,93.6802368297865
1991,"October","Mothers",35372627.66,23750856.31,67.1447327529413
1991,"October","Non-Fathers",53168347.7,35957837.2,67.6301573313703
1991,"October","Non-Mothers",51574597.09,27247677.07,52.8315849418107
1991,"October","Other",22983718.76,12117965.99,52.7241310100333
1991,"September","Fathers",28396897.38,26701506.07,94.0296600459103
1991,"September","Mothers",35630057.15,23732003.12,66.6066939496896
1991,"September","Non-Fathers",53093410.54,36181313.65,68.1465238002395
1991,"September","Non-Mothers",51348310.21,26992555.55,52.5675634497184
1991,"September","Other",22833361.76,12019771.51,52.6412695438326
1992,"April","Fathers",28154045.04,26285892.29,93.3645316424485
1992,"April","Mothers",35430643,23910678.42,67.4858721022929
1992,"April","Non-Fathers",53723562.19,36287804.06,67.545416909742
1992,"April","Non-Mothers",51986108.6,27342071.71,52.5949574729277
1992,"April","Other",23059848.85,12025138.12,52.1475149218075
1992,"August","Fathers",28524257.36,26801979.98,93.9620605779025
1992,"August","Mothers",35799544.68,23998007.21,67.0343922653488
1992,"August","Non-Fathers",53687202.77,37253610.83,69.3901133005518
1992,"August","Non-Mothers",51806426.89,27663523.13,53.3978596685265
1992,"August","Other",23200575.43,12835458.51,55.3238799991264
1992,"December","Fathers",28661309.7,26691916.87,93.1287409730617
1992,"December","Mothers",35581424.66,24225551.53,68.0848272981996
1992,"December","Non-Fathers",53962164.64,36219091.83,67.1194198224439
1992,"December","Non-Mothers",52346487.42,27615631.41,52.7554622498871
1992,"December","Other",23232843.96,12058729.86,51.9038042900022
1992,"February","Fathers",27823793.05,25733915.46,92.488883215008
1992,"February","Mothers",35033018.92,23573605.17,67.2896767013763
1992,"February","Non-Fathers",53855261.8,36103240.17,67.0375353555518
1992,"February","Non-Mothers",52101892.69,27360064.34,52.5126112074068
1992,"February","Other",23253296.79,11842630.95,50.9288255207446
1992,"January","Fathers",28147123.64,26033107.22,92.4894051447738
1992,"January","Mothers",34946806.04,23399271.52,66.9568243038213
1992,"January","Non-Fathers",53520155.8,35714489.66,66.7309149724112
1992,"January","Non-Mothers",52103382.36,27384394.19,52.5578051743204
1992,"January","Other",23235350.46,11769019.24,50.6513523876498
1992,"July","Fathers",28334218.89,26623517.89,93.962420468899
1992,"July","Mothers",35710151.33,23976794.41,67.1427969834929
1992,"July","Non-Fathers",53786786.72,37695256.94,70.082745668061
1992,"July","Non-Mothers",51783562.49,28034385,54.1376136595735
1992,"July","Other",23211211.42,13480365.26,58.0769569329096
1992,"June","Fathers",28683811.07,26938314.08,93.9146963918418
1992,"June","Mothers",35721050.49,24076339.57,67.4009841248652
1992,"June","Non-Fathers",53433482.03,37327927.36,69.8586839971282
1992,"June","Non-Mothers",51863721.45,27962614.94,53.9155582326613
1992,"June","Other",22961194.12,12988705.12,56.5680732984457
